calories,category,fat,carbs,name,restaurant
760,Burgers,45,45,Original Bacon Double Cheeseburger,A&W Restaurants
340,Entrees,20,26,Coney (Chili) Dog,A&W Restaurants
370,French Fries,15,49,Chili Fries,A&W Restaurants
670,Shakes,29,90,Strawberry Milkshake (small),A&W Restaurants
820,Shakes,18,150,A&W® Root Beer Freeze (large),A&W Restaurants
340,Desserts,9,57,Caramel Sundae,A&W Restaurants
420,Shakes,6,86,Strawberry Banana Smoothee,A&W Restaurants
1010,Desserts,59,152,Chocolate Fudge Blendrrr,A&W Restaurants
420,Drinks,0,105,Strawberry Limeade,A&W Restaurants
270,Drinks,0,73,Watermelon Slushee,A&W Restaurants
480,Drinks,0,119,Lime Slushee,A&W Restaurants
880,Drinks,0,232,A&W® Root Beer,A&W Restaurants
420,Burgers,21,37,Cheeseburger,A&W Restaurants
310,French Fries,12,45,French Fries (Regular),A&W Restaurants
1140,Sides,80,54,Cheese Curds (Large),A&W Restaurants
700,Shakes,29,100,Chocolate Milkshake (small),A&W Restaurants
450,Shakes,8,108,Orange Freeze (small),A&W Restaurants
170,Shakes,5,30,A&W® Diet Root Beer Float (small),A&W Restaurants
610,Shakes,10,121,Strawberry Smoothee,A&W Restaurants
140,Drinks,0,38,Limeade,A&W Restaurants
340,Drinks,0,90,Cherry Limeade,A&W Restaurants
330,Drinks,0,82,Lemon Slushee,A&W Restaurants
570,Drinks,0,142,Blue Raspberry Slushee,A&W Restaurants
0,Drinks,0,0,A&W® Diet Root Beer,A&W Restaurants
400,Chicken,15,31,Grilled Chicken Sandwich,A&W Restaurants
430,French Fries,17,61,French Fries (Large),A&W Restaurants
190,Sides,6,22,Chili,A&W Restaurants
880,Shakes,36,125,Chocolate Milkshake (medium),A&W Restaurants
600,Shakes,10,142,Orange Freeze (medium),A&W Restaurants
170,Shakes,5,30,A&W® Diet Root Beer Float (medium),A&W Restaurants
610,Shakes,9,137,Orange Float (large),A&W Restaurants
700,Desserts,41,103,Reese's® Peanut Butter Fudge Blendrrr,A&W Restaurants
210,Drinks,0,55,Limeade,A&W Restaurants
530,Drinks,0,138,Cherry Limeade,A&W Restaurants
440,Drinks,0,110,Lemon Slushee,A&W Restaurants
740,Drinks,0,182,Blue Raspberry Slushee,A&W Restaurants
0,Drinks,0,0,A&W® Diet Root Beer,A&W Restaurants
680,Burgers,38,44,Original Double Cheeseburger,A&W Restaurants
380,Entrees,23,28,Coney (Chili) Cheese Dog,A&W Restaurants
350,Sides,16,45,Breaded Onion Rings (Regular),A&W Restaurants
840,Shakes,36,113,Strawberry Milkshake (medium),A&W Restaurants
260,Shakes,8,39,A&W® Diet Root Beer Freeze (small),A&W Restaurants
330,Shakes,5,70,A&W® Root Beer Float (small),A&W Restaurants
680,Shakes,10,137,Strawberry Banana Smoothee,A&W Restaurants
340,Desserts,12,56,Oreo® Cookies & Cream Blendrrr,A&W Restaurants
560,Drinks,0,143,Strawberry Limeade,A&W Restaurants
360,Drinks,0,99,Watermelon Slushee,A&W Restaurants
770,Drinks,0,188,Lime Slushee,A&W Restaurants
1760,Drinks,0,464,A&W® Root Beer,A&W Restaurants
470,Burgers,25,38,Papa Single Burger,A&W Restaurants
310,Entrees,19,23,Hot Dog (plain),A&W Restaurants
390,French Fries,18,50,Cheese Fries,A&W Restaurants
740,Desserts,31,97,Reese's® Polar Swirl®,A&W Restaurants
480,Shakes,10,89,A&W® Root Beer Freeze (medium),A&W Restaurants
350,Desserts,11,54,Hot Fudge Sundae,A&W Restaurants
390,Shakes,6,78,Strawberry Banana Smoothee,A&W Restaurants
560,Desserts,32,92,Chocolate Fudge Blendrrr,A&W Restaurants
